id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
316,Long Nineteenth Century,1799-1817,Protokolle des Bayerischen Staatsrats,https://www.bayerischer-staatsrat.de,yes,yes,yes,GER,Minutes,2012,present,Matthias Reinert,Historische Kommission bei der Bayerischen Akademie der Wissenschaften; Bayerisches Hauptstaatsarchiv,Scholars; general public,partly,partly,no,yes,yes,yes,no,no,no,no,DEU,yes,yes,yes,no,no,yes,no,no,no,no,partly,no,Keyed,yes,yes,yes,Bayerisches Hauptstaatsarchiv,Munich,not provided,not provided,PHP; eXist-DB; Bootstrap,yes,no,yes,no,21.11115/0000-000E-558B-6
317,Middle Ages,636-1000,The glosses to the first book of the Etymologiae of Isidore of Seville: a digital scholarly edition,https://db.innovatingknowledge.nl/edition,yes,yes,yes,LAT,Manuscript,2019,2021,Evina Steinová,Huygens ING; Koninklijke Nederlandse Akademie Van Wetenschappen,Scholars; students,yes,yes,yes,yes,yes,no,no,no,no,no,ENG,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,yes,partly,no,Keyed,no,no,no,Staatsbibliothek (Berlin); Burgerbibliothek (Bern); Biblioteca Universitaria (Bologna); Koninklijke Bibliotheek (Brussels); Biblioteca Malatesiana (Cesena); Bibliothèque municipale (Chartres); Forschungsbibliothek (Gotha); Dombibliothek (Köln); Bibliothèque municipale (Laon); Universiteitsbibliotheek (Leiden); The British Library (London); Real Academia de la Historia (Madrid); Archivio dell'Abbazia (Montecassino); Bibliothèque interuniversitaire (Montpellier); Biblioteca Ambrosiana (Milan); Bayerische Staatsbibliothek (Munich); Bibliothèque municipale (Orléans); The Bodleian Library (Oxford); Queen's College library (Oxford); Bibliothèque nationale de France (Paris); Bibliothèque municipale (Reims); Stadtsbibliothek (Schaffhausen); Bibliothek des Bischöflichen Priesterseminars (Trier); Biblioteca Apostolica Vaticana (The Vatican); Biblioteca Marziana (Venice); Herzog August Bibliothek (Wolfenbüttel),Northern France; England; Brittany; Northern Italy; Northern Spain; Southern Germany,Nederlandse Organisatie voor Wetenschappelijk Onderzoek (NWO),not provided,XSLT; CSS; JavaScript; Cytoscape,yes,no,yes,yes,21.11115/0000-000E-BCB4-3
318,Modern; Contemporary,1900-2000,In Search of the Drowned: Testimonies and Testimonial Fragments of the Holocaust,https://lts.fortunoff.library.yale.edu/,yes,yes,yes,ENG,Oral history interviews; video; audio,2018,2021,Gabor Mihaly Toth,Yale Fortunoff Archive; USC Shoah Foundation; United States Holocaust Memorial Museum; Yale DH Lab,Scholars; students; general public,yes,yes,not provided,partly,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,partly,no,no,no,no,yes,no,Keyed,no,no,no,Yale Fortunoff Archive; USC Shoah Foundation; United States Holocaust Memorial Museum,United States; Canada; Israel; Australia,Yale Fortunoff Archive,not provided,Python; Mongo; Docker; Flask; BlackLab Corpus Engine; Alpine Linux,yes,no,no,yes,21.11115/0000-000E-BCB5-2
319,Long Nineteenth Century,1789-1859,Alexander von Humboldt: Sämtliche Schriften digital,https://humboldt.unibe.ch/text,yes,yes,yes,GER; FRE; LAT; ENG; SPA; POR; HEB; SWE; DAN; DUT; HUN; RUS; ITA; POL,Print,2021,present,Thomas Nehrlich,University of Bern,Scholars; students; general public,yes,yes,yes,yes,yes,partly,yes,no,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,yes,yes,yes,Project server at University of Bern; GitHub,440 places worldwide,Schweizerischer Nationalfonds; Schweizerische Akademie der Geistes- und Sozialwissenschaften,not provided,"Perl; CSS, Javascript; XSLT",yes,no,yes,yes,21.11115/0000-000E-BCB6-1
320,Middle Ages,1475-1520,Mystische Bücher in der Bibliothek der Kartause Erfurt. Digitale Edition,https://making-mysticism.org/edition/1.0/html/,yes,yes,yes,LAT,Codex,2018,2022,Marieke Abram; Susanne Bernhardt; Gilbert Fournier; Martin Hinze; Antje Kellersohn; Balázs J. Nemes; Saher Semaan,University of Freiburg; University Library Freiburg,Scholars,yes,yes,yes,yes,yes,yes,yes,no,yes,GER,GER,no,yes,no,no,yes,Open Access and Open Source (all data),no,no,no,no,yes,yes,Keyed,yes,no,no,Erfurt Bistumsarchiv Hs. Hist. 6,Erfurt Charterhouse,Deutsche Forschungsgemeinschaft,not provided,Oxygen XML editor,yes,no,yes,yes,21.11115/0000-000F-327E-C
321,Contemporary,1970-1990,Peter Handke Notizbücher. Digitale Edition,http://edition.onb.ac.at/handke-notizbuecher,yes,yes,yes,GER,Notebook,2021,present,Bernhard Fetz; Ulrich von Bülow,Austrian National Library; Deutsches Literaturarchiv Marbach,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,GER,no,yes,no,no,partly,Open Access and Open Source (some data),yes,yes,no,yes,yes,yes,Keyed,yes,no,yes,German Literature Archive Marbach; Literary Archive of the Austrian National Library Vienna,Europe; USA,Austrian Science Fund (FWF); Deutsche Forschungsgemeinschaft (DFG),"470.479,80 € (FWF); 350.130,00 € (DFG)",Fedora Commons; GAMS; XSLT; TEI-XML; IIIF; HTML,yes,no,yes,no,21.11115/0000-000F-EF06-E
322,Long Nineteenth Century,1850-1863,Gottfried Semper. Critical and Commented Edition,https://semper-edition.ch/,yes,yes,yes,GER,Paper,2017,2024,Elena Chestnova,Universita della Svizzera Italiana; ETH Zurich,Scholars; students; architects; general public,partly,yes,yes,yes,yes,yes,yes,yes,yes,no,GER; ENG,yes,yes,yes,yes,yes,Open Access and Open Source (all data),yes,yes,no,yes,partly,no,Keyed,yes,no,no,"GTA Archives, ETH Zurich; Universitatsbibliothek Braunschweig",London; Zurich,Swiss National Science Foundation,2.8 Mio CHF,Neo4j; PHP,yes,no,yes,yes,21.11115/0000-000F-EF07-D
323,Antiquity,700-1 BC,Thesaurus Inscriptionum Raeticarum,https://tir.univie.ac.at,yes,yes,yes,RAE,Stone; ceramic; metal; organic material,2013,present,Corinna Salomon,University of Vienna,Scholars; students,yes,yes,yes,no,no,yes,no,no,no,ENG,ENG,yes,yes,no,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,yes,yes,32 museums in Italy; Austria; Germany,Italy; Austria; Germany,FWF,not provided,MySQL; Semantic MediaWiki,yes,no,yes,no,21.11115/0000-000F-EF08-C
324,Antiquity,700BC-100AD,Lexicon Leponticum,https://lexlep.univie.ac.at,yes,yes,yes,Lepontic; Cisalpine Gaulish; Etruscan; Camunic; Ligurian; Venetic; Sabellic,Inscription,2009,present,David Stifter,University of Vienna,Scholars; students,yes,yes,yes,no,no,partly,no,no,no,ENG,ENG,yes,yes,no,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,yes,yes,ca. 70 museums in Italy; Switzerland; Austria; Germany; France; the Netherlands,Italy; Switzerland; France,FWF; ÖAW,not provided,MySQL; Semanic MediaWiki,yes,no,yes,no,21.11115/0000-0011-2BD5-D
325,Long Nineteenth Century; Modern,1862-1931,Arthur Schnitzler – Chronik. Eine digitale Ressource zu den einzelnen Tagen seines Lebens,https://schnitzler-chronik.acdh.oeaw.ac.at/,no,yes,no,GER,Letter; diary entry; list,2023,present,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,partly,yes,yes,yes,yes,no,no,no,no,no,GER,no,no,no,no,yes,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,yes,no,Cambridge University Library; Deutsches Literaturarchiv Marbac; others,mostly Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; Python; others,yes,no,no,no,21.11115/0000-0011-2BD6-C
326,Long Nineteenth Century; Modern,1896-1933,Clara Katharina Pollaczek: Arthur Schnitzler und ich. Digitale Ausgabe,https://pollaczek.acdh.oeaw.ac.at/,no,yes,yes,GER,Letter; diary entry; note,2023,present,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences; Wienbibliothek im Rathaus,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,no,no,GER,no,yes,yes,no,yes,Open Access and Open Source (all data),yes,no,yes,yes,yes,yes,OCR,yes,yes,no,Wienbibliothek im Rathaus,mostly Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; Python; others,yes,no,no,no,21.11115/0000-0011-2BD7-B
327,Long Nineteenth Century; Modern,1879-1931,Aufenthaltsorte von Arthur Schnitzler (1879–1931),https://schnitzler-orte.acdh.oeaw.ac.at/,no,yes,no,GER,List; diary entry,2022,not provided,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,partly,yes,yes,yes,yes,no,no,no,no,no,GER,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,yes,partly,yes,OCR,yes,yes,no,Deutsches Literaturarchiv Marbach; Cambridge University Library; others,mostly Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; Python; others,yes,no,no,no,21.11115/0000-0011-2BD8-A
328,Long Nineteenth Century; Modern,1862-1931,Arthur Schnitzler: Lektüren. Digitale Edition der Leseliste von Arthur Schnitzler,https://schnitzler-lektueren.acdh.oeaw.ac.at/,yes,no,yes,GER,List; diary entry,2022,not provided,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,yes,no,yes,yes,yes,no,no,no,no,no,GER,no,yes,yes,no,yes,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,yes,no,Cambridge University Library,Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; others,yes,no,no,no,21.11115/0000-0011-2BD9-9
329,Long Nineteenth Century; Modern,1879-1931,Arthur Schnitzler: Tagebuch. Digitale Edition,https://schnitzler-tagebuch.acdh.oeaw.ac.at/,yes,no,yes,GER,Diary entry,2018,not provided,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,yes,no,yes,yes,yes,yes,yes,yes,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,yes,no,Cambridge University Library,mostly Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; others,yes,no,yes,no,21.11115/0000-0011-2BDA-8
330,Long Nineteenth Century; Modern,1862-1931,Arthur Schnitzler: Archiv der Zeitungsausschnitte,https://schnitzler-zeitungen.acdh.oeaw.ac.at/,no,yes,no,GER,Newspaper clipping,2019,not provided,Peter Andorfer,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences; University of Exeter,Scholars; students; general public,partly,yes,yes,partly,no,yes,yes,yes,no,no,GER,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,OCR,yes,yes,no,University of Exeter University Library,Vienna and others,not provided,not provided,Transkribus Pages,yes,no,no,no,21.11115/0000-0011-2BDB-7
331,Long Nineteenth Century; Modern,19th-20th,Personen der Moderne Basis,https://pmb.acdh.oeaw.ac.at/,no,yes,no,GER,not provided,2018,present,Peter Andorfer,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students,no,yes,not provided,yes,yes,no,no,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (some data),yes,yes,no,yes,partly,yes,Keyed,yes,yes,no,multiple,multiple,multiple,not provided,APIS (relational database),yes,no,no,no,21.11115/0000-0011-2BDC-6
332,Long Nineteenth Century; Modern,1891-1931,"Hermann Bahr – Arthur Schnitzler: Briefwechsel, Aufzeichnungen, Dokumente (1891–1931)",https://schnitzler-bahr.acdh.oeaw.ac.at/,yes,no,yes,GER,Letter; note; diary entry,2018,2022,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students,yes,partly,yes,yes,yes,no,no,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,yes,no,multiple,mostly Vienna,not provided,not provided,XML/TEI; XSLT; XHTML; JavaScript; others,yes,no,yes,no,21.11115/0000-0011-2BDD-5
333,Antiquity,-0014-1200,Inscriptions of Roman Tripolitania (2021),https://irt2021.inslib.kcl.ac.uk/,yes,yes,yes,LAT; GRC,Wall; monument; block,2009,2021,Charlotte Roueché,King's College London; British School at Rome; School of Advanced Study,Scholars; archaeologists,yes,yes,yes,yes,yes,partly,yes,no,no,ENG; FRE; DEU; ARA; ITA,ENG,no,yes,no,yes,yes,Open Access and Open Source (all data),yes,no,no,no,partly,yes,Keyed,yes,no,no,https://kcl.figshare.com/,Western Libya,British Institute for Libyan and North African Studies,Perhaps £8000,EpiDoc; EFES; KILN,yes,no,no,yes,21.11115/0000-0011-2BDE-4
334,Middle Ages,1000-1100,"SAWS Kekaumenos, Consilia et Narrationes",https://ancientwisdoms.ac.uk/library/kekaumenos-consilia-et-narrationes/index.html,yes,yes,yes,GRC,Manuscript,2010,2013,Charlotte Roueché,King's College London; University of Vienna; Newman Institute Uppsala,Scholars; students,yes,yes,yes,yes,yes,no,no,no,no,ENG; ITA; DEU; RUS; SPA,ENG,no,yes,no,yes,yes,Open Access and Open Source (all data),yes,no,no,no,yes,yes,Keyed,no,no,no,King's College London,Unknown: ?Constantinople,HERA,"c. £1,000, 000 for the whole project of which this is part",RDF; XML; Django; Apache Tomcat; Apache Solr,yes,no,no,yes,21.11115/0000-0011-2BDF-3
335,Antiquity; Middle Ages,-0500-1300,SAWS Dynamic Library,https://ancientwisdoms.ac.uk/library/,yes,yes,yes,ARA; GRC; LAT; SPA,Manuscript,2010,2013,Charlotte Roueché; Denis Searby; Elvira Wakelnig,University of Vienna; Newman Institute Uppsala; King's College London,Scholars; students,yes,yes,yes,yes,yes,no,no,no,no,ENG,ENG,no,yes,no,yes,yes,Open Access and Open Source (all data),yes,no,no,no,yes,yes,Keyed,no,no,no,Various libraries,Various scriptoria,HERA,not provided,Django; Apache Tomcat; Apache Solr; kiln; sesame,yes,no,no,yes,21.11115/0000-0011-2BE0-0
336,Middle Ages,1292-1572,Die Urkunden und Akten des Klosters und des Oberamts Königsfelden,https://www.koenigsfelden.uzh.ch,yes,yes,yes,GER,Charter; manuscript,2017,2021,Colette Halter-Pernet; Tobias Hodel; Simon Teuscher,University of Zürich; Walter Benjamin Kolleg der Universität Bern,Scholars; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,yes,no,yes,yes,yes,Keyed,no,no,no,Staatsarchiv des Kantons Aargau,Königsfelden/Windisch/Kanton Aargau/Schweiz,Schweizerischer Nationalfonds,"1,000,000 CHF",Exist-db,yes,no,no,yes,21.11115/0000-0011-2BE1-F
337,Long Nineteenth Century,1840-1895,MEGAdigital – Online-Abteilung der historisch-kritischen Gesamtausgabe von Karl Marx und Friedrich Engels,https://megadigital.bbaw.de/,yes,yes,yes,GER; ENG; FRE; ITA; SPA; RUS,Letter; manuscript; notebook,2016,present,Gerald Hubmann,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars; students; general public,yes,yes,yes,yes,no,partly,yes,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,yes,yes,Keyed,yes,yes,no,Berlin-Brandenburgische Akademie der Wissenschaften,Europe,BBAW; IMES,not provided,exist-db,yes,no,not provided,yes,not provided
338,Modern; Contemporary,1959-1973,Auden Musulin Papers: A Digital Edition of W. H. Auden's Letters to Stella Musulin,https://amp.acdh.oeaw.ac.at,yes,yes,yes,ENG; GER,Letter; typescript; card; photograph,2021,2024,Sandra Mayer,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,no,yes,yes,Keyed,yes,no,no,Landessammlungen Niederösterreich,Austria; Germany; United Kingdom; United States,FWF Austrian Science Fund,"€448,361",static site; XML/TEI; XSLT; JavaScript; Baserow,yes,no,yes,yes,21.11115/0000-000E-C343-A
339,Antiquity,2nd-8th,Patristic Text Archive (PTA),https://pta.bbaw.de,yes,yes,yes,GRC; LAT; SYC; XCL,Manuscript; print,2021,not provided,Annette von Stockhausen,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars; students; general public,yes,yes,yes,yes,yes,partly,yes,no,no,GER,GER; ENG,yes,yes,yes,yes,yes,Open Access and Open Source (all data),yes,yes,no,yes,yes,yes,Keyed; OCR,yes,yes,no,Various,Various,Akademienprogramm,not provided,XML; XSLT; Python; PHP; Javascript; eXist-db; Git,yes,no,no,not provided,not provided
340,Long Nineteenth Century; Modern,19th-20th Century,Open Arabic Periodical Editions (OpenArabicPE),https://openarabicpe.github.io/,yes,yes,yes,ARA,Newspaper; journal; magazine,2015,Present,Till Grallert,Orient-Institut Beirut,Scholars; students; general public,yes,yes,not provided,yes,yes,yes,no,no,no,no,ENG; ARA,no,no,yes,no,partly,Open Access and Open Source (all data),yes,no,yes,yes,yes,yes,Keyed,no,no,yes,Orient-Institut Beirut; Princeton; al-Aqsa Mosque Library; Tübingen,Baghdad; Beirut; Cairo; Damascus,not provided,not provided,XML; XSLT; XPath; JavaScript; CSS,yes,no,no,yes,not provided
341,Modern; Contemporary,1941-1956,Korespondencja Jana Lechonia i Kazimierza Wierzyńskiego. Naukowa Edycja Cyfrowa,https://tei.nplp.pl/categories/korespondencja-jana-lechonia-i-kazimierza-wierzynskiego,yes,yes,yes,POL; ENG,Letter; postcard,2015,2021,Beata Dorosz; Bartłomiej Szleszyński,Instytut Badań Literackich Polskiej Akademii Nauk,Scholars; Students; Polonia Communities; Emigration Circles,yes,yes,partly,yes,yes,partly,yes,no,no,no,POL,yes,yes,yes,yes,yes,Open Access and Open Source (some data),yes,yes,no,no,yes,yes,Keyed,yes,no,no,Various,United States of America,Narodowy Program Rozwoju Humanistyki - funding number 1aH 15 0173 83,"PLN 1,500,000",PHP; Laravel; custom CMS,yes,no,no,not provided,not provided
342,Modern; Contemporary,1920-1969,Korespondencja Mieczysława Grydzewskiego i Kazimierza i Haliny Wierzyńskich. Naukowa Edycja Cyfrowa,https://tei.nplp.pl/categories/korespondencja-mieczyslawa-grydzewskiego-i-kazimierza-i-haliny-wierzynski,yes,yes,yes,POL; ENG,Letter; postcard,2015,2021,Beata Dorosz; Bartłomiej Szleszyński,Instytut Badań Literackich Polskiej Akademii Nauk,Scholars; Students; Polonia Communities; Emigration Circles,yes,yes,partly,yes,yes,partly,yes,no,no,no,POL,yes,yes,yes,yes,yes,Open Access and Open Source (some data),yes,yes,no,no,yes,yes,Keyed,yes,no,no,Various,United States of America; London,Narodowy Program Rozwoju Humanistyki - funding number 1aH 15 0173 83,"PLN 1,500,000",PHP; Laravel; custom CMS,yes,no,no,not provided,not provided
343,Long Nineteenth Century,1848-1918,Die Ministerratsprotokolle Österreichs und der österreichisch-ungarischen Monarchie 1848–1918 – Digitale Edition,https://mrp.oeaw.ac.at,yes,yes,yes,GER,Minute; record,1969,present,Franz Adlgasser; Anatol Schmied-Kowarzik; Stephan Kurz (digital edition),Institute for Habsburg and Balkan Studies at the Austrian Academy of Sciences;Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; general public,partly,yes,yes,yes,yes,partly,no,no,no,no,no,yes,yes,yes,no,yes,Open Access and Open Source (some data),yes,yes,no,yes,partly,yes,Keyed,yes,yes,no,Austrian State Archives,Vienna,Austrian Academy of Sciences,not provided,Exist-db (legacy); static site generation (upcoming),yes,no,yes,not provided,not provided
344,Early Modern;Long Nineteenth Century,1500-1918,Digital Scholarly Edition of Habsburg-Ottoman Diplomatic Sources 1500–1918,https://qhod.net/,yes,yes,yes,GER; LAT; OTA,Letter; record; note; material artifact; miscellaneous Ottoman source genres,2020,present,Arno Strohmeyer (editor); Stephan Kurz (technical),Institute for Habsburg and Balkan Studies at the Austrian Academy of Sciences;Zentrum für Informationsmodellierung Universität Graz,Scholars; general public,partly,yes,yes,yes,yes,yes,yes,no,no,ENG,GER; ENG,no,no,yes,no,yes,Open Access and Open Source (some data),yes,no,no,yes,no,yes,OCR; Keyed,yes,no,no,Multiple;Austrian State Archives;Austrian National Library;Directorate of State Archives (Türkiye),Vienna; Istanbul; multiple,Austrian Academy of Sciences,not provided,Fedora 3.x; Cirilo; GAMS; XML; TEI; XSLT; HTML; CSS3,yes,no,yes,not provided,not provided
